iso,anger_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
KAZ,0.06674867268631478,0.04438541481099294,0.0037687036380267946,0.47394480299123604,0.314401965274516,0.0343563532382098,0.06239406857513013,8.695652173913043,0.0,0.0,47.82608695652174,34.78260869565217,4.3478260869565215,4.3478260869565215
KEN,0.15066300227911034,0.18492728447364198,0.026898409156793996,0.34750395152063684,0.10700233266245396,0.08445875096922031,0.09854626320330204,9.523809523809524,28.57142857142857,0.0,33.33333333333333,9.523809523809524,9.523809523809524,9.523809523809524
KHM,0.04901845760607449,0.09450794998736542,0.009010753966105681,0.4395562747460125,0.23285145480518363,0.07014876972728719,0.10490635085235615,2.380952380952381,9.523809523809524,0.0,47.61904761904761,23.809523809523807,7.142857142857142,9.523809523809524
KOR,0.1275986553281607,0.11907233732084646,0.01716711235387361,0.15994117205264047,0.3202054735677513,0.1733147069546823,0.0827005479774303,10.526315789473683,6.578947368421052,0.0,17.105263157894736,42.10526315789473,14.473684210526317,9.210526315789473
MEX,0.06462600987184228,0.06638576605525616,0.008808757683125026,0.39065865901440183,0.30751480700356687,0.10858104350128477,0.053424983981001005,7.142857142857142,0.0,0.0,46.42857142857143,32.142857142857146,10.714285714285714,3.571428571428571
MYS,0.08125841374903058,0.07740992204344366,0.013447227376813177,0.5003132459734423,0.21428732702042907,0.05222667602804275,0.061057169795206465,7.6923076923076925,7.6923076923076925,0.0,53.84615384615385,23.076923076923077,3.8461538461538463,3.8461538461538463
PAK,0.2722154769985734,0.15371131798778864,0.016116595662543146,0.17077449811166961,0.24271729075775036,0.09742509563954588,0.04703971399272711,34.78260869565217,13.043478260869565,0.0,17.391304347826086,26.08695652173913,4.3478260869565215,4.3478260869565215
PHL,0.059971822204614805,0.1576089930644634,0.023853607944652647,0.2586994367561096,0.38561795099263285,0.07165108206875932,0.04259709626542948,2.7777777777777777,16.666666666666664,0.0,25.0,55.55555555555556,0.0,0.0
PRK,0.09066436451782162,0.1100691046876212,0.018237665716636306,0.09239675870824916,0.17137542064204656,0.07698010831372812,0.4402765851196212,6.666666666666667,6.666666666666667,0.0,10.0,20.0,3.3333333333333335,53.333333333333336
RUS,0.0607007507840992,0.10753205460280853,0.015269519848195684,0.12429614771426233,0.4604189712779867,0.18999071542423893,0.041791843004229313,4.845814977973569,8.370044052863436,0.0,12.334801762114537,52.863436123348016,18.94273127753304,2.643171806167401
SGP,0.020647945169184823,0.014941645399085246,0.014782967198698316,0.5715550560911652,0.13319121561362407,0.0822548278461909,0.1626263544370886,0.0,0.0,0.0,60.0,10.0,10.0,20.0
SRB,0.15791829278027908,0.11844868078121855,0.02195005089555296,0.3838758333999243,0.16015473008155823,0.03585717889748799,0.12179522305321429,19.35483870967742,3.225806451612903,0.0,45.16129032258064,16.129032258064516,0.0,16.129032258064516
TJK,0.14941002674666898,0.11443637732771181,0.007929382572737745,0.03979817552941053,0.4826669343081968,0.20029589196755773,0.005463218374643475,9.523809523809524,4.761904761904762,0.0,9.523809523809524,57.14285714285714,19.047619047619047,0.0
TUR,0.2666129187314904,0.08888394936608772,0.02190624524484433,0.026245405187919027,0.38573679928889587,0.11634981078982708,0.09426487978531181,38.095238095238095,2.380952380952381,0.0,2.380952380952381,42.857142857142854,2.380952380952381,11.904761904761903
UKR,0.09285069116242423,0.11334339858719253,0.06349031819458499,0.07972097465439613,0.4404865135822791,0.13871577144876487,0.07139233386770524,10.309278350515463,12.371134020618557,5.154639175257731,7.216494845360824,51.546391752577314,10.309278350515463,3.0927835051546393
USA,0.2302730032533873,0.19954720667562273,0.02667537532286975,0.0962453631069647,0.20589717858808376,0.15675264071632716,0.08460922817402808,23.473541383989144,22.388059701492537,0.6784260515603799,9.49796472184532,22.65943012211669,12.618724559023068,8.683853459972863
VNM,0.16907784352026117,0.14057317928580398,0.06120687393492765,0.3176482744059864,0.14566488324304705,0.1404360932065174,0.025392859348688613,22.727272727272727,18.181818181818183,0.0,36.36363636363637,13.636363636363635,9.090909090909092,0.0
ZAF,0.17679599060927734,0.13309066282594217,0.045264581113140315,0.22077243752891007,0.06678634726454337,0.26849693472897157,0.08879305826326928,17.94871794871795,7.6923076923076925,0.0,35.8974358974359,7.6923076923076925,28.205128205128204,2.564102564102564
