iso,angry_avg,disgust_avg,fear_avg,happy_avg,neutral_avg,sad_avg,surprise_avg,anger_dom_pct,disgust_dom_pct,fear_dom_pct,happy_dom_pct,neutral_dom_pct,sad_dom_pct,surprise_dom_pct
BTN,0.006104610729380511,0.02204798674210906,0.0020667676581069827,0.02532360330224037,0.6290854215621948,0.30896514537744224,0.006406495929695666,0.0,0.0,0.0,0.0,50.0,50.0,0.0
BWA,0.001535799354314804,0.0008970271155703813,0.0007140203379094601,0.9946275055408478,0.00031993786979001015,0.0008770188433118165,0.0010287266341038048,0.0,0.0,0.0,100.0,0.0,0.0,0.0
CAF,0.11689899985988934,0.28072261934479076,0.002665508557887127,0.31160357167633873,0.24718686503668627,0.03283586073666811,0.008086580705518523,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0
CAN,0.09338679984368635,0.058723639527437255,0.035577178818176694,0.34059034047710995,0.16237333073438956,0.0982434353141938,0.21110527664915515,7.6923076923076925,2.564102564102564,0.0,33.33333333333333,15.384615384615385,7.6923076923076925,33.33333333333333
CHL,0.20640697692182253,0.17010305451483212,0.010093051540686494,0.13849464381663976,0.35498272225430066,0.11428908271376383,0.005630457488057966,27.27272727272727,9.090909090909092,0.0,9.090909090909092,36.36363636363637,18.181818181818183,0.0
CHN,0.042298949507994385,0.19480575066071493,0.007761133375423889,0.40352803214222505,0.2158969383659158,0.06822192924934059,0.0674872648035726,0.6749740394600208,25.02596053997923,0.0,46.00207684319834,21.754932502596052,2.699896157840083,3.8421599169262723
CIV,0.30018922686576843,0.12483661621809006,0.007773088291287422,0.004489056300371885,0.005443462636321783,0.5332910418510437,0.023977456614375114,0.0,0.0,0.0,0.0,0.0,100.0,0.0
CMR,0.02902917688091596,0.18589207033316293,0.020299998422463734,0.6013646125793457,0.005531277934399744,0.025330133115251858,0.1325527479251226,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0
COG,0.04282434498891234,0.10996204949915409,0.005381928890710696,0.3544278174522333,0.22764352541416882,0.25110900979489087,0.008651325665414333,0.0,10.0,0.0,40.0,20.0,30.0,0.0
COL,0.2770699609973235,0.08944144945417065,0.015505650486375089,0.3843343173211906,0.12278710969985696,0.09721816534147365,0.013643348291225266,37.5,0.0,0.0,37.5,12.5,12.5,0.0
